Chemical Name,shape,coating,diameter mean,diameter Units,Chemical Purity Mean,surface (m2/g),size mean,Size Units,Dissolution,zp mean,zp Units,Species group,Species Scientific Name,media type,illumination,Endpoint,Duration,Observed Duration Units,Toxicity Conc Mean,Toxicity Conc Units,authors,title,journal,vol,issue,year,id
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli AB1157 (pSLlux) sod wt","0.9% NaCl","dark","EC50 ","2","h","10.1"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","715"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli AS391
(pSLlux) sodABC−","0.9% NaCl","dark","EC50 ","0.5","h","11.4"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","719"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli JI132
(pSLlux) sodAB−","0.9% NaCl","dark","EC50 ","0.5","h","14.8"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","721"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli AS391
(pSLlux) sodABC−","0.9% NaCl","dark","EC50 ","2","h","2.53"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","723"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli JI132
(pSLlux) sodAB−","0.9% NaCl","dark","EC50 ","2","h","3.25"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","725"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli JI131
(pSLlux) sodB−","0.9% NaCl","dark","EC50 ","0.5","h","33"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","726"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli JI130
(pSLlux) sodA−","0.9% NaCl","dark","EC50 ","0.5","h","39.7"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","729"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli AS393
(pSLlux) sodC−","0.9% NaCl","dark","EC50 ","0.5","h","47.6"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","730"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli AB1157 (pSLlux) sod wt","0.9% NaCl","dark","EC50 ","0.5","h","50.5"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","732"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli JI130
(pSLlux) sodA−","0.9% NaCl","dark","EC50 ","2","h","6.73"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","733"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli JI131
(pSLlux) sodB−","0.9% NaCl","dark","EC50 ","2","h","7.45"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","737"
"CuO","","","42.5","nm","","25.5","","nm","20% at 0.01 to 200 mg/L","","mV","bacteria","E. coli AS393
(pSLlux) sodC−","0.9% NaCl","dark","EC50 ","2","h","9.85"," mg/L","Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","398","2","2010","739"
"CuO","","","30","nm","","","","nm","exponential; % of bioavailable Cu = 
-2.8327*ln(Cu total) + 15.908","","mV","bacteria","Vibrio fischeri","2% NaCl in Milli-Q water","dark","EC50","0.5","h","79"," mg/L","Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus","CHEMOSPHERE","71","7","2008","741"
"CuO","","","50","nm","","","237","nm","analysed, value not given","-22.9","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O,
60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","115.2"," µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","743"
"CuO","","","51","nm","","","557.3","nm","analysed, value not given","-21.9","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O,
60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","1883.5"," µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","747"
"CuO","","","52","nm","","","557.3","nm","analysed, value not given","-21.9","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O,
60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","2090.2"," µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","750"
"CuO","","","53","nm","","","935.5","nm","analysed, value not given","-17.6","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O,
60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","2557.8"," µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","753"
"CuO","","","54","nm","","","622.1","nm","analysed, value not given","-23.3","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O,
60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","2792.8"," µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","757"
"CuO","","","55","nm","","","237","nm","analysed, value not given","-22.9","mV","crustacean","Daphnia magna","moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O,
60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)","16-h/8-h light/dark cycle","EC50","24","h","319.7"," µg/L","Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won","Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods","JOURNAL OF HAZARDOUS MATERIALS","227","","2012","759"
